,date,Iht
1,1/24/20,0
2,1/25/20,0
3,1/26/20,0
4,1/27/20,0
5,1/28/20,0
6,1/29/20,0
7,1/30/20,0
8,1/31/20,0
9,2/1/20,0
10,2/2/20,0
11,2/3/20,0
12,2/4/20,0
13,2/5/20,0
14,2/6/20,0
15,2/7/20,0
16,2/8/20,0
17,2/9/20,0
18,2/10/20,0
19,2/11/20,0
20,2/12/20,0
21,2/13/20,0
22,2/14/20,0
23,2/15/20,0
24,2/16/20,0
25,2/17/20,0
26,2/18/20,0
27,2/19/20,0
28,2/20/20,0
29,2/21/20,0
30,2/22/20,0
31,2/23/20,0
32,2/24/20,0
33,2/25/20,0
34,2/26/20,0
35,2/27/20,0
36,2/28/20,0
37,2/29/20,0
38,3/1/20,0
39,3/2/20,0
40,3/3/20,0
41,3/4/20,0
42,3/5/20,0
43,3/6/20,0
44,3/7/20,0
45,3/8/20,0
46,3/9/20,0
47,3/10/20,1
48,3/11/20,3
49,3/12/20,2
50,3/13/20,3
51,3/14/20,4
52,3/15/20,6
53,3/16/20,5
54,3/17/20,6
55,3/18/20,4
56,3/19/20,6
57,3/20/20,7
58,3/21/20,7
59,3/22/20,7
60,3/23/20,13
61,3/24/20,13
62,3/25/20,16
63,3/26/20,22
64,3/27/20,26
65,3/28/20,25
66,3/29/20,23
67,3/30/20,23
68,3/31/20,22
69,4/1/20,25
70,4/2/20,25
71,4/3/20,27
72,4/4/20,26
73,4/5/20,24
74,4/6/20,21
75,4/7/20,18
76,4/8/20,15
77,4/9/20,15
78,4/10/20,15
