measure_date,entry,exit,entry_restrict,exit_restrict,import,import_restrict,,net,total
1/24/2020,30291,0,30291,0,0,0,,30291,30291
1/25/2020,43287,0,43287,0,0,0,,43287,73578
1/26/2020,35087,0,35087,0,0,0,,35087,108665
1/27/2020,17294,0,17294,0,0,0,,17294,125959
1/28/2020,16991,0,16991,0,0,0,,16991,142950
1/29/2020,16700,0,16700,0,0,0,,16700,159650
1/30/2020,18548,0,18548,0,0,0,,18548,178198
1/31/2020,24027,30291,24027,30291,0,0,,-6264,171934
2/1/2020,37089,43287,37089,43287,0,0,,-6198,165736
2/2/2020,29915,35087,29915,35087,0,0,,-5172,160564
2/3/2020,19838,17294,19838,17294,0,0,,2544,163108
2/4/2020,16091,16991,16091,16991,0,0,,-900,162208
2/5/2020,18149,16700,18149,16700,0,0,,1449,163657
2/6/2020,21372,18548,21372,18548,0,0,,2824,166481
2/7/2020,24338,24027,24338,24027,0,0,,311,166792
2/8/2020,37314,37089,37314,37089,0,0,,225,167017
2/9/2020,30024,29915,30024,29915,0,0,,109,167126
2/10/2020,20735,19838,20735,19838,0,0,,897,168023
2/11/2020,17379,16091,17379,16091,0,0,,1288,169311
2/12/2020,18834,18149,18834,18149,0,0,,685,169996
2/13/2020,28093,21372,28093,21372,0,0,,6721,176717
2/14/2020,46527,24338,46527,24338,0,0,,22189,198906
2/15/2020,59816,37314,59816,37314,0,0,,22502,221408
2/16/2020,60796,30024,60796,30024,0,0,,30772,252180
2/17/2020,49555,20735,49555,20735,0,0,,28820,281000
2/18/2020,32273,17379,32273,17379,0,0,,14894,295894
2/19/2020,26737,18834,26737,18834,0,0,,7903,303797
2/20/2020,30221,28093,30221,28093,0,0,,2128,305925
2/21/2020,39049,46527,39049,46527,0,0,,-7478,298447
2/22/2020,47116,59816,47116,59816,0,0,,-12700,285747
2/23/2020,37113,60796,37113,60796,0,0,,-23683,262064
2/24/2020,25726,49555,25726,49555,0,0,,-23829,238235
2/25/2020,21419,32273,21419,32273,0,0,,-10854,227381
2/26/2020,24474,26737,24474,26737,0,0,,-2263,225118
2/27/2020,25978,30221,25978,30221,0,0,,-4243,220875
2/28/2020,34767,39049,34767,39049,0,0,,-4282,216593
2/29/2020,40434,47116,40434,47116,0,0,,-6682,209911
3/1/2020,34432,37113,34432,37113,0,0,,-2681,207230
3/2/2020,21308,25726,21308,25726,0,0,,-4418,202812
3/3/2020,20254,21419,20254,21419,0,0,,-1165,201647
3/4/2020,19854,24474,19854,24474,0,0,,-4620,197027
3/5/2020,24157,25978,24157,25978,0,0,,-1821,195206
3/6/2020,33493,34767,33493,34767,0,0,,-1274,193932
3/7/2020,48859,40434,48859,40434,0,0,,8425,202357
3/8/2020,51573,34432,51573,34432,0,0,,17141,219498
3/9/2020,45474,21308,45474,21308,0,0,,24166,243664
3/10/2020,47255,20254,47255,20254,0,0,,27001,270665
3/11/2020,48285,19854,48285,19854,0,0,,28431,299096
3/12/2020,44590,24157,44590,24157,0,0,,20433,319529
3/13/2020,44964,33493,44964,33493,0,0,,11471,331000
3/14/2020,51587,48859,51587,48859,0,0,,2728,333728
3/15/2020,38839,51573,38839,51573,0.000158421,0.000158421,,-12734,320994
3/16/2020,23067,45474,23067,45474,0.00019041,0.00019041,,-22407,298587
3/17/2020,14409,47255,14409,47255,0.000239764,0.000239764,,-32846,265741
3/18/2020,10712,48285,10712,48285,0.000289423,0.000289423,,-37573,228168
3/19/2020,7463,44590,7463,44590,0.00036254,0.00036254,,-37127,191041
3/20/2020,7232,44964,7232,44964,0.000438704,0.000438704,,-37732,153309
3/21/2020,6520,51587,6520,51587,0.00054838,0.00054838,,-45067,108242
3/22/2020,6118,38839,6118,38839,0.000667196,0.000667196,,-32721,75521
3/23/2020,6276,23067,6276,23067,0.00083171,0.00083171,,-16791,58730
3/24/2020,6053,14409,6053,14409,0.001011457,0.001011457,,-8356,50374
3/25/2020,6159,10712,6159,10712,0.001258228,0.001258228,,-4553,45821
