time,date,mu_high,eta_high,mu_low,eta_low,epsilon_low,epsilon_med,epsilon_high
1,1/24/20,30291,0,30291,0,0,0,0
2,1/25/20,43287,0,43287,0,0,0,0
3,1/26/20,35087,0,35087,0,0,0,0
4,1/27/20,17294,0,17294,0,0,0,0
5,1/28/20,16991,0,16991,0,0,0,0
6,1/29/20,16700,0,16700,0,0,0,0
7,1/30/20,18548,0,18548,0,0,0,0
8,1/31/20,24027,30291,24027,30291,0,0,0
9,2/1/20,37089,43287,37089,43287,0,0,0
10,2/2/20,29915,35087,29915,35087,0,0,0
11,2/3/20,19838,17294,19838,17294,0,0,0
12,2/4/20,16091,16991,16091,16991,0,0,0
13,2/5/20,18149,16700,18149,16700,0,0,0
14,2/6/20,21372,18548,21372,18548,0,0,0
15,2/7/20,24338,24027,24338,24027,0,0,0
16,2/8/20,37314,37089,37314,37089,0,0,0
17,2/9/20,30024,29915,30024,29915,0,0,0
18,2/10/20,20735,19838,20735,19838,0,0,0
19,2/11/20,17379,16091,17379,16091,0,0,0
20,2/12/20,18834,18149,18834,18149,0,0,0
21,2/13/20,28093,21372,28093,21372,0,0,0
22,2/14/20,46527,24338,46527,24338,0,0,0
23,2/15/20,59816,37314,59816,37314,0,0,0
24,2/16/20,60796,30024,60796,30024,0,0,0
25,2/17/20,49555,20735,49555,20735,0,0,0
26,2/18/20,32273,17379,32273,17379,0,0,0
27,2/19/20,26737,18834,26737,18834,0,0,0
28,2/20/20,30221,28093,30221,28093,0,0,0
29,2/21/20,39049,46527,39049,46527,0,0,0
30,2/22/20,47116,59816,47116,59816,0,0,0
31,2/23/20,37113,60796,37113,60796,0,0,0
32,2/24/20,25726,49555,25726,49555,0,0,0
33,2/25/20,21419,32273,21419,32273,0,0,0
34,2/26/20,24474,26737,24474,26737,0,0,0
35,2/27/20,25978,30221,25978,30221,0,0,0
36,2/28/20,34767,39049,34767,39049,0,0,0
37,2/29/20,40434,47116,40434,47116,0,0,0
38,3/1/20,34432,37113,34432,37113,0,0,0
39,3/2/20,21308,25726,21308,25726,0,0,0
40,3/3/20,20254,21419,20254,21419,0,0,0
41,3/4/20,19854,24474,19854,24474,0,0,0
42,3/5/20,24157,25978,24157,25978,0,0,0
43,3/6/20,33493,34767,33493,34767,0,0,0
44,3/7/20,48859,40434,48859,40434,0,0,0
45,3/8/20,51573,34432,51573,34432,0,0,0
46,3/9/20,45474,21308,45474,21308,0,0,0
